;producto_id;tipo_produccion_id;idioma_id;anio_publica;titulo;palabras_clave
117;2581;1;4;2016;Impact of whale-watching on the short-term behavior of Southern right whales (Eubalaena australis) in Patagonia, Argentina;Whale watching|Southern right whale|Short-term change|Behavioral responses|Patagonia Argentina
118;2582;1;4;2016;Driving CARs into Sweet Roads: Targeting Glycosylated Antigens in Cancer;chimeric antigen receptors (CARs)|Tn and sialyl Tn antigens|glycobiology|immunotherapy
119;2583;1;4;2016;Overcrowding-mediated stress alters cell proliferation in key neuroendocrine areas during larval development in Rhinella arenarum;stress|proliferation|pituitary|development
120;2584;1;4;2016;Closely-related Xanthomonas citri subsp. citri isolates trigger distinct histological and transcriptional responses in Citrus limon.;Gene expression|Canker|Plant defense|cDNA-AFLP
121;2585;1;4;2016;Light pollution: the possible consequences of excessive illumination on retina.;retina|daño por luz|degeneracion retiniana|luz
122;2594;1;4;2016;Fumagillin control on Nosema Ceranae (Microsporidia: Nosematidae) infection in Honey Bee (Hymenoptera: Apidae) Colonies from Argentina;nosema|fumagillin|apiculture|antibiotic control
123;2596;1;4;2016;Assessment of genetic and epigenetic changes in virus-free garlic (Allium sativum L.) plants obtained by meristem culture followed by in vitro micropropagation;AFLP|MSAP|MSAP fragment cloning|retrotransposon|somaclonal variation
124;2603;1;4;2016;On basic chordal graphs and some of its subclasses;CHORDAL GRAPH|DUALLY CHORDAL GRAPH|BASIC CHORDAL GRAPH|DV GRAPH
125;2669;1;4;2016;Evidence for the involvement of hydraulic root or shoot adjustments as mechanisms underlying water deficit tolerance in two Sorghum bicolor genotypes;relaciones hidricas|transporte de agua|raiz|estrés hídrico
126;2675;1;4;2016;"Conformational transition of A&#946;42 inhibited by a mimetic peptide. A molecular modeling study using QM/MM calculations and QTAIM analysis";QTAIM|ONIOM|AMYLOID
127;2676;1;4;2016;Phospholamban ablation rescues the enhanced propensity to arrhythmias of mice with CaMKII-constitutive phosphorylation of RyR2-S2814 site;Arrhythmias|calcium|CaMKII|mathematical model
128;2677;1;4;2016;Conditioned breathing depression during neonatal life as a function of associating ethanol odor and the drug's intoxicating effects.;NEONATAL ETHANOL INTOXICATION|OLFACTORY STIMULATION|SENSITIZATION|BREATHING DEPRESSION|CONDITIONED BREATHING RESPONSES
129;2678;1;5;2016;Estabilidad de antocianinas durante el almacenamiento de jugos de arándanos;ANTOCIANINAS|ESTABILIDAD|CINETICA DE DEGRADACION|JUGO DE ARANDANOS|ALMACENAMIENTO
130;2761;1;4;2016;"Synthesis of a 3&#8209;Thiomannoside";3-THIOMANNOSIDE|LEVOGLUCOSENONE|XANTATE-THIOCARBONATE|ENANTIOSPECIFIC SYNTHESIS
131;2762;1;4;2016;A Brucella spp. Protease Inhibitor Limits Antigen Lysosomal Proteolysis, Increases Cross-Presentation, and Enhances CD8 + T Cell Responses;BRUCELLA|PROTEASE INHIBITORS|CROSS-PRESENTATION
132;2763;1;4;2016;Feed supplementation with avian origin strains of Propionibacterium acidipropionici contributes to mucosa development in early stages of rearing broiler chickens;DAIRY PROPIONIBACTERIA|CHICKEN|PROBIOTIC|MICROBIOTA|GUT
133;2799;1;4;2016;Enhanced antimicrobial activity of a peptide derived from human lysozyme by arylation of its tryptophan residues;ANTIMICROBIAL|PEPTIDE|ENHANCED|LYSOZYME
134;2844;1;5;2016;Programar con Scratch en contextos educativos:  ¿Asimilar directrices o co-construir Tecnologías para la Inclusión Social?;PROGRAMACION COMPUTACIONAL|PRACTICAS EDUCATIVAS MEDIATIZADAS|ENFOQUE SOCIO-TECNICO|DISPOSITIVO HIPERMEDIAL DINAMICO|SCRATCH
135;2855;1;4;2016;"Modifications in nitric oxide and superoxide anion metabolism induced by fructose overload in rat  heart are prevented by (&#8722;)-epicatechin";ANTIOXIDANTS|FLAVONOIDS|HYPERTENSION|OBESITY
136;2856;1;4;2016;HETEROGENEOUS DISTRIBUTION OF TRACE FOSSILS ACROSS INITIAL TRANSGRESSIVE DEPOSITS IN RIFT BASINS: AN EXAMPLE FROM THE SPRINGHILL FORMATION, AUSTRAL BASIN, PATAGONIA ARGENTINA;ICHNOLOGY|SPRINGHILL FORMATION|RIFT BASIN|CRETACEOUS|AUSTRAL BASIN
137;2860;1;4;2016;Axotomy of tributaries of the pelvic and pudendal nerves induces changes in the neurochemistry of mouse dorsal root ganglion neurons and the spinal cord;CGRP|Glutamate|Nerve Injury|TRPV1|Visceral Pain
138;2903;1;4;2016;AtPDCD5 Plays a Role during dark-senescence in Arabidopsis;muerte celular programada|arabidopsis|senescencia|PDCD5
